RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,1901.296395972440,1915.1417408437800,1928.554862175960,1940.6095562471900,1958.2793627632600,1972.4412078402900,1987.0587802590300,1994.2415997424700,2002.6590764325600,2006.5966469102300,2016.3904059692400,2030.0984484759600,2048.947517163450,2059.0423114150900,2069.580761079570,2079.70958767937,2093.616000857500,2104.3842817422700,2112.085683390040,2117.320944720350,2117.676041887030,2122.294364356140,2132.3514332698400,2147.924296148,2164.3969900728600,2180.1099495352100,2195.906151096840,2205.852149873750,2219.0715482169500,2227.2979152022200,2236.6416323956500,2238.7285806694200,2241.909147612140,2244.1633615220700,2250.0966658054200,2258.573458440000,2271.093453691450,2283.236839396790,2296.696571527,2310.671452418320,2323.366551909520,2336.4573206818700,2344.2253266064200,2349.3336910227900,2352.038624257130,2356.4693151026900,2363.880562587200,2370.8914611311500,2379.7547004655200,2389.556412426850,2399.773704663990,2411.9701930850000,2421.300496147240,2431.2002156008100,2436.110435095440,2439.0635610766400,2438.729314082290,2441.4486062756100,2446.010987676290,2452.3119586427700,2454.161803488220,2441.5453991037500,2423.47014269559,2410.1453869702200,2409.610767095850,2407.2203312779000,2403.3559677417900,2400.432751147550,2405.2672359106800,2404.1246187601200,2400.9814480882700,2401.382887317420,2411.8032941526200,2430.0650834238300,2454.9003018056100,2487.602803691080,2527.3953319994800,2575.555159428320,2614.7279188490600,2645.4526040844100,2658.6949544870100,2678.4913869007800,2697.498082135610,2725.786116931460,2753.1223868231600,2785.5390662825100,2817.126819150400,2838.353510738470,2856.753794629500,2871.5251906817100,2885.41338348517,2885.713966420330,2879.4138122025800
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,1460.4486738716400,1474.862155560690,1487.4769959687000,1514.6814951420700,1521.8513778097800,1529.066418568430,1527.2810529102800,1519.1141664638900,1506.9199171558900,1501.2519247731800,1506.1354551970400,1517.6655920811900,1530.3301574957900,1541.1433768639300,1552.0923768848800,1562.1132578333900,1569.8285767537600,1570.8916694179600,1564.0076563078600,1550.9806733155200,1537.9014222073700,1531.0966541502700,1532.5142853468300,1546.9241384870600,1563.7746895458400,1581.6280988141900,1592.2498630011300,1600.03632856421,1604.6244581836500,1602.9630054336200,1595.3332609909100,1583.1987005734600,1571.7276052991200,1567.042899750790,1570.9955094251000,1580.2095702767900,1593.0654513237200,1603.9127686888500,1616.4951599873100,1627.52758835467,1634.5805884954200,1633.94100621532,1626.2933545557800,1613.3888372270800,1603.8909394029200,1597.0549923541800,1601.9045117927500,1610.707132021480,1625.853482645930,1641.5444015784400,1655.8258790669700,1667.515756874740,1673.9845305362300,1675.3043407517900,1671.908424054380,1664.1613298266000,1652.7837788321700,1645.0313697880900,1647.9789226688700,1659.2801923515100,1673.3937874771800,1675.716454147390,1674.782098318140,1669.3902255613400,1667.4520286845100,1658.1649713051200,1639.665467506030,1613.9519835988400,1591.002273862160,1577.8422311722600,1574.4255540070100,1579.4922082677700,1598.4965735828900,1629.757480053060,1667.8116613048300,1698.935562912940,1719.8049364963900,1735.1324307877400,1739.3441463726700,1739.5322026509700,1736.1786454150800,1744.0548277158200,1758.9539591596400,1777.0602650426400,1798.29164205748,1820.160187996020,1846.1849149868000,1866.2454718185100,1885.0500195381700,1891.5621075584100,1892.1728650960500,1889.6979245165400,1884.3296782115400
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1283.3167661410800,1291.5056819130400,1301.6229874154000,1311.1820882842200,1315.8141673567400,1318.7956344995500,1316.8666787553900,1312.5698949397600,1309.4626315350900,1307.609150689140,1309.1266022121800,1313.187638584160,1321.6471713605300,1325.373582681410,1324.4114711356100,1321.5753772244300,1321.376092829330,1318.475936961830,1313.497665201340,1310.5489570124700,1305.826727143060,1302.1935382127600,1296.7339100015100,1300.9478566763600,1308.8133705380500,1316.0309870110500,1322.5126505003900,1324.3920906973900,1326.2310275727200,1325.318584332570,1327.2637508287600,1337.3034083144,1347.2776407390900,1355.178165614820,1355.616479919650,1357.5771138474700,1361.2251454203000,1368.8404273864400,1373.4777020340900,1378.5419528832100,1382.3179326715300,1383.238370133410,1380.813314879990,1377.3626475405500,1379.477964620920,1378.2813366817100,1376.437435849360,1373.0224751157100,1377.1435127793200,1382.280948744240,1391.2629343211600,1398.6728760559000,1405.6208773110800,1406.5768486012200,1403.798185591040,1401.281103273220,1399.1201253801800,1402.1791469095500,1403.8454838661300,1407.1302992111600,1410.3400469311600,1404.6279246214300,1395.8898603712600,1386.9295636347400,1386.482816352190,1387.8405793446800,1388.449751068260,1391.8748767073900,1396.0571400076000,1397.5066113016000,1395.7493919368100,1394.3881270184200,1399.883842191440,1414.5008899426700,1440.7551833779000,1472.4327523127600,1502.257078767860,1528.3440170093000,1539.8474995336600,1549.6159247038500,1551.328554897030,1560.5855421226000,1563.7684115467600,1573.1434097186800,1579.821730805660,1591.8124153355600,1604.4662695328200,1619.7949080233300,1632.7135998193800,1641.5880600680400,1640.286871020860,1635.8914022574200,1627.892725753740
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,1008.8552183158400,1022.251801574740,1025.465247719600,1034.407268473030,1036.1559102867700,1039.1308202016100,1042.637380989660,1044.9107980002600,1047.3389241546300,1048.8858061203100,1054.678873026310,1061.4715048751400,1070.115018858900,1077.573586272970,1085.5844210809200,1091.1352518285500,1095.6573972394300,1097.4750264442500,1098.1465990721900,1099.1047136789800,1100.2341689626900,1102.1361175952300,1106.6957638261000,1114.5192044813300,1124.7851176997000,1134.4926973186200,1144.0110153404000,1151.7982042663600,1158.6383683092100,1162.5450113666100,1163.7056303398900,1165.1173856806300,1166.3404704541200,1168.205355764430,1171.995146341410,1176.9986756284700,1190.3737659350900,1204.8655596915200,1219.3242064723600,1227.049575579580,1233.8425976107000,1241.0233511349600,1246.8754841453400,1251.6771733684500,1256.3839880058300,1262.3939050731000,1265.9989688037200,1274.777084504590,1285.3962224000700,1301.647437146790,1314.4096528617500,1326.8914837541800,1335.6494255576900,1344.1221112858500,1346.300078447850,1350.3140853739800,1352.6994334344200,1365.2955971132000,1374.2717694874200,1387.5949404876500,1392.2574021846900,1390.3316790448500,1384.8120568780700,1386.0194258074300,1398.808094403730,1416.1584993676200,1433.8443385102600,1450.128325314460,1466.6341801954300,1477.0249801996100,1490.7569083401600,1501.1845598124300,1526.2080437503700,1558.1614163114700,1608.4093808787800,1661.663324155160,1721.0613052778700,1771.9616558827200,1810.791196910290,1834.9542443411100,1852.9360809653200,1866.4447802188400,1877.656071234750,1886.3585887844500,1901.565044302250,1915.8816552706200,1930.036106719450,1937.3921749665800,1941.7161932896000,1938.3429625175600,1930.8914190937100,1920.1757826620100,1907.0474984180400
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,1825.4795972267200,1838.2655315004500,1844.779418635440,1853.9349862975700,1864.1412975391100,1876.4922139675600,1886.396113542360,1888.9207794132300,1893.6147185519600,1896.8596726568400,1905.1712458742100,1912.529557020070,1928.1119206975800,1941.9893374646900,1958.8345128702900,1971.2097928287800,1977.2447346286000,1981.3672530721000,1984.4576678421700,1991.4903969099100,1992.0926075548300,1988.6068837883400,1991.1984466425000,2006.4068724386100,2024.8689277456000,2044.407666872410,2060.716719663200,2077.0263149851300,2090.0654040204600,2097.579313745860,2100.206323600730,2102.1692898919900,2095.819192955740,2096.0245745011200,2101.8142463922700,2117.121567277320,2132.921570391600,2146.52430918122,2163.0252994991000,2178.834135568720,2191.995882008890,2203.219047760060,2209.5702064477500,2210.4625886801500,2208.2618324224200,2203.176312775130,2204.107186547470,2206.491710947670,2215.62252992812,2228.928163137210,2242.7836212820100,2256.112096856300,2267.01566967869,2277.1517036738000,2282.7867486395600,2288.2076363546300,2285.5259042785800,2283.8488458578400,2283.8366528549400,2291.4938605917100,2298.901363322840,2287.7702462384000,2276.322009331670,2273.3158420638900,2288.0634794022300,2301.1819924457200,2313.0834375714200,2326.1901726589200,2342.192152039090,2354.5503226520600,2361.726880000310,2368.274046217000,2385.0130317107600,2419.665089376540,2465.808810912340,2513.575669423590,2566.3823433857800,2628.130916911370,2688.099794182160,2732.4003579304700,2758.489572601760,2776.7048865405100,2782.5505405705200,2808.3681097360900,2848.08218893417,2910.1292006053700,2957.6313393627300,3003.9296993430300,3043.082755731620,3078.8793591703000,3087.294348141700,3081.5151186121000,3055.501522111430
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,2016.330922408580,2028.8020335499500,2043.750301715310,2053.311492471160,2064.5502955545400,2076.0959060409400,2083.056175999590,2084.1231532947500,2086.378087095020,2091.655212519140,2101.034492937680,2107.129915234380,2112.6377424266800,2119.617213719090,2133.4774859635700,2150.131454762390,2165.5889114559900,2167.527080923190,2173.5955329017300,2172.2472000403500,2178.1048369891600,2172.151639647280,2175.8665436700400,2183.627237555290,2199.1171575566600,2214.799783572720,2226.985281506,2238.4053816267300,2248.829279042670,2254.5318739692300,2258.2113753136000,2256.654226594230,2257.0148766644000,2256.698833482390,2261.913863139390,2267.9906882920400,2275.887242461490,2284.4574308121900,2291.7768971484000,2301.1976280318300,2306.3352900808600,2311.3214676601800,2313.4818724612700,2318.6667663631800,2325.380467549780,2330.796239923410,2331.17472873419,2330.525875770900,2333.1460258591700,2343.4657053307300,2355.4208717459400,2370.5153867090100,2380.778819427920,2388.897081878710,2394.264903662090,2395.7809895327500,2398.37972651015,2400.7012794575200,2408.7263905760700,2415.0609604148200,2418.208514039860,2398.6157223701100,2378.1300352727400,2360.8588062101800,2367.1627039848800,2376.5606102928300,2392.207831440910,2407.820633751430,2421.492435092270,2431.745727042500,2446.369850486500,2461.484321053290,2486.505931794660,2511.4307906815700,2546.9365901461000,2596.461724551310,2672.926865396840,2772.2360087398200,2858.1061737285100,2912.583304792890,2940.5101876277800,2953.3044161506600,2967.880352949360,2985.4870653279800,3018.298806415280,3047.5200510545900,3076.9140367299300,3100.834585437240,3127.0299988729200,3138.207217909650,3133.851100204400,3118.5710140123700,3105.644085592310
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,1763.5011399653800,1771.2696607249000,1783.3812394321100,1792.873674593760,1801.0411220517400,1805.7537562643200,1808.4170027731300,1820.5995749598000,1828.2415128166200,1835.4772011827300,1838.8494550381100,1846.530086617220,1852.822342796050,1850.930774059850,1848.352376715150,1845.1474065337100,1848.535098866960,1846.2139673731500,1843.041038595110,1838.0430924624000,1834.2168039704800,1831.333520865360,1835.5543583981000,1841.0094518527500,1850.538537804400,1851.4803698953100,1853.7753828230300,1855.7342720344300,1858.5084947158,1861.5420495298300,1861.2366086754400,1865.7125504676100,1867.0974851755500,1870.148749376820,1871.8621654186300,1874.1532352735200,1879.682024723710,1882.8748585888700,1886.534697570490,1891.1964855115800,1894.846423425500,1902.3434036012700,1905.663049039420,1913.1909852426200,1913.6057279766400,1917.8547485165500,1917.4524368841800,1920.0078510112600,1924.0784304092600,1928.3422540988500,1931.7359745550600,1933.157846396700,1933.0052738902700,1938.1246072959400,1939.9335202309900,1950.0862749822200,1956.835932105830,1964.7267882479200,1969.8830243062400,1973.4047159228400,1976.3882286359200,1966.9487298312700,1956.5877665586500,1944.8020538859200,1947.3228824145700,1949.3777908742800,1949.9096415999600,1948.2613667281900,1955.1866297412000,1970.8355464916500,1995.503643595220,2023.2318683024600,2060.8985287816700,2108.1116083740700,2163.7606236311500,,,2369.9825305604100,2435.82306534756,2485.48405959774,2534.447382978530,2596.5606953886700,2648.8027916069300,2721.488311992930,2785.5802510471100,2863.3445186010100,2927.451415379000,2961.0108405818500,2985.0215190015000,2980.9518361589200,2993.147250535460,2985.3772103692600,2975.905346673980
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1178.3826891397200,1187.8276064115300,1202.4879306319200,1212.2589329124100,1221.1460857085000,1226.5964401315000,1228.7899683249200,1225.756790690210,1226.7727726454900,1227.078360912780,1235.7854895239400,1242.2914944898300,1256.4369645840700,1264.0575367210600,1272.6910054575500,1279.6525955790000,1284.0954634906800,1286.3948538060600,1283.0460171647100,1285.3255280523400,1291.990035257140,1299.558660531970,1302.1994793057400,1301.906947277590,1309.7426154539500,1317.6539325205200,1329.8214630772300,1336.1267082653300,1345.06794775483,1348.728692277250,1348.3417002275100,1348.8625113837400,1347.0016827271700,1348.9766273464600,1349.9177475271400,1358.4376550080200,1362.8438546020700,1369.2422755432700,1367.3507036629200,1374.0144003559400,1379.495999701730,1390.5563709933600,1389.785896939100,1391.3132878157700,1393.2172108325300,1395.9092206449800,1397.3487828082700,1399.5838546081200,1405.4073621386200,1414.6181516838200,1421.2076143835900,1435.8285121288700,1442.0459930756000,1444.2210134394100,1442.9781534844400,1442.1290138127000,1439.6901711018600,1434.099963433370,1432.6748329820300,1437.7164729778200,1443.3096285296300,1441.4767065546000,1436.4528942493400,1433.202014733120,1432.989320808590,1431.2789888092800,1428.407199333460,1432.287654980410,1436.9358269666800,1442.8420883247300,1444.6689871581000,1454.5025847134000,1467.3590510458100,1490.6418874723200,1518.5883789813900,1557.4716766225400,1597.842368959880,1634.6794524321000,1660.1355659211000,1670.968946241420,1680.4343399266800,1685.9343724815700,1699.079900903010,1715.4966988675800,1729.1654614238000,1752.343651929410,1780.3253920603400,1821.781151939280,1852.1078311020800,1863.2315598055700,1861.3280551546200,1843.9608650300300,1824.399741825380
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,2371.522331579650,2389.1220217271800,2413.948245093360,2437.5029919518900,2454.464737230740,2468.3721166227000,2483.6875248179200,2496.8595562387800,2495.6122196480400,2482.1601193929100,2471.1895394832000,2465.6537944761100,2474.352298206680,2476.855573294420,2486.2828585998600,2501.0978033553500,2520.268682159590,2536.0663811097500,2541.91549210785,2539.851864656070,2539.7726143311000,2526.948828835910,2521.1162644803500,2506.6994283466500,2511.558695282120,2518.9358847983400,2533.744128165830,2544.8048907384000,2560.6312792928400,2573.823845071920,2578.5063968175600,2566.7562235088400,2553.0969226554200,2542.48848632106,2540.089931328430,2536.4107944253700,2545.940773147690,2558.996129038100,2580.1157360981800,2592.995448538140,2602.6492811251900,2611.3150939223600,2615.2427106363500,2610.327596339770,2597.4344855775300,2578.2735899717500,2572.64248110402,2583.368120319230,2608.8716983631600,2629.3376085061000,2652.8477232201600,2667.740396159600,2691.8509756938800,2706.923485162440,2720.632632683160,2719.335234796750,2703.5758904429200,2695.9331997586300,2697.313516141880,2714.107711906720,2732.553570233800,2733.852583914830,2718.7624256579200,2686.981455656380,2660.3779482114800,2625.819674665420,2581.687260479430,2533.3549685808900,2499.5036769377300,2476.959454810670,2472.054735721400,2474.293962806170,2493.8079414746,2524.765618819740,2563.5035353470200,2609.4721382063300,2662.235791304200,2717.2275103824300,2766.605239054990,2790.0016455144700,2803.6089231900300,2808.975722029710,2835.6378898897600,2878.8124916898900,2935.26588858868,2990.9091772226600,3056.743018351700,3122.226594010840,3186.5729494808800,3224.156264956030,3232.043922362210,3217.686833007610,3172.1708561652100
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,1457.1942424030800,1465.940192426400,1471.560234110520,1475.3596024741500,1482.9021944821600,1490.9592976162500,1501.834955664420,1506.3925614183800,1514.5797935365500,1516.089417944940,1519.9488287858000,1523.1602368165200,1529.215532240660,1531.093239761690,1535.9337584455200,1545.1470086802200,1557.1020279868000,1561.3739185106100,1569.7141346619300,1572.6517175766900,1581.1519439581600,1578.4824370094500,1592.237311924660,1597.3164548996900,1613.16962742,1624.7785505753900,1641.24707256265,1650.0637655324300,1654.9684906292000,1662.8125525700600,1673.1267933053900,1680.55370168443,1685.6811718528100,1682.3332424467400,1689.6633490147800,1696.9777780574300,1709.7820025706700,1715.3139320902300,1718.1308435064600,1727.847470650050,1737.6823755664700,1750.4052193931300,1761.094508838810,1773.461476105410,1780.0080989847100,1785.289198519910,1784.6053197840700,1787.8921154462100,1793.5620105686400,1802.913240134000,1811.5362584937300,1817.8908963229900,1825.7476762810800,1836.7103135306400,1845.997195716950,1853.258371052660,1855.2245320043200,1860.5326592975300,1863.3056828057900,1871.406046940660,1874.9415016201600,1869.1484002707800,1860.7483553450100,1864.4864455951400,1884.919313616350,1918.7286610544000,1948.9963381646200,1981.40791316678,2011.2036214679500,2031.5048124626600,2041.9802967781800,2060.864658072870,2091.422972368020,2136.871666686730,2170.7759850024700,2215.1702264073200,2264.2316651471200,2326.2140067167300,2377.420586305410,2406.6525835553000,2431.480519373570,2430.240132427830,2454.2456653241500,2460.2811585113800,2506.241382535550,2530.04989158636,2555.7572982592600,2566.2407612193200,2582.8241053733800,2593.413460054190,2598.6626779248000,2586.705966420750,2586.5633963760200
